lat	lon	sza	on2	doy	points	d_lat	d_lon	ut	day	month	year	orbit
-87.35294	67.94118	0.0	0.3691075	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-87.35294	69.70588	0.0	0.35575107	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-87.35294	71.47059	0.0	0.343183	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-87.35294	73.23529	0.0	0.3315082	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-87.35294	75.0	68.15583	0.5274925	001	2566	1.7647059	1.7647059	-0.21529007	1	1	2005	16602
-87.35294	76.76471	67.994896	0.26855138	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	80.29412	67.72916	0.06274167	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	82.05882	67.64345	0.11269212	001	2566	1.7647059	1.7647059	-0.21112442	1	1	2005	16602
-87.35294	83.82353	67.52974	0.18198243	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	85.588234	67.39953	0.2871622	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-87.35294	87.35294	67.28083	0.56669474	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	89.117645	67.282196	0.25472686	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	90.882355	0.0	0.11594096	001	2566	1.7647059	1.7647059	-0.21112442	1	1	2005	16602
-87.35294	92.64706	67.10937	0.0991703	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	94.411766	67.02167	0.07205853	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-87.35294	96.17647	66.95317	0.3053212	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	99.70588	66.779945	0.08594966	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	101.47059	66.706604	0.16923615	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	103.23529	66.55732	0.2341722	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	105.0	66.506775	0.4697266	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	106.76471	66.54692	0.23433116	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	108.52941	66.29214	0.105467975	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	112.05882	66.112144	0.06387034	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	113.82353	66.087395	0.49108467	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-87.35294	115.588234	65.96285	0.50892425	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	117.35294	0.0	0.4017174	001	2566	1.7647059	1.7647059	-0.20695686	1	1	2005	16602
-87.35294	119.117645	65.85552	0.46553543	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	120.882355	65.78154	0.31799653	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	122.64706	65.75183	0.22662887	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	126.17647	65.573265	0.3107759	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	127.94118	65.47344	0.835852	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	129.70589	65.492294	0.2138001	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-87.35294	131.47058	0.0	0.30359778	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	133.23529	65.33484	0.40348807	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-87.35294	135.0	65.36869	0.49054626	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	136.76471	64.9159	0.17487636	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	138.52942	65.224915	0.5357181	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-87.35294	140.29411	64.552315	1.8282105	001	2566	1.7647059	1.7647059	-0.20279121	1	1	2005	16602
-87.35294	142.05882	65.13569	0.09249148	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	143.82353	65.051636	0.39508066	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-87.35294	147.35294	64.864105	0.23230049	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-87.35294	149.11765	64.8782	0.5174271	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-87.35294	150.88235	64.72203	0.49547347	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
-87.35294	152.64706	64.72488	0.59340453	001	2566	1.7647059	1.7647059	-0.19029045	1	1	2005	16602
-87.35294	154.41176	64.757614	2.1181028	001	2566	1.7647059	1.7647059	-0.19862366	1	1	2005	16602
-87.35294	156.17647	64.589226	0.89389837	001	2566	1.7647059	1.7647059	-0.19445801	1	1	2005	16602
